no	front	reading	meaning_vi	han_viet	years
1	〜を抜きにして		Bỏ N sang một bên, hãy thôi N đi		2010・2014・2018
2	〜ないことには〜ない		Nếu không... thì...		2011・2015・2019
3	〜かける		Đang làm dở... / suýt nữa thì...		2012・2016・2020
4	〜きれる・〜きれない		Làm xong hoàn toàn / Không thể làm xong		2010・2013・2017
5	〜こと・〜ないこと		Phải... / Không được... quy tắc		2011・2014・2018
6	〜ほかない		Không còn cách nào khác ngoài việc...		2012・2015・2019
7	〜あげく		Cuối cùng thì... sau quá trình dài		2010・2016・2020
8	〜いずれにしても		Dù thế nào đi nữa / Dù sao thì cũng...		2011・2013・2019
9	〜おきに		Cứ cách... khoảng đều nhau		2012・2016・2021
10	〜がたい		Khó lòng làm gì đó		2010・2014・2020
11	〜かというと		Nếu nói là... thì...		2011・2015・2018
12	〜かねない		Có thể xảy ra điều xấu		2013・2017・2021
13	〜かねる		Khó lòng làm / không tiện làm		2010・2014・2019
14	〜からには		Một khi đã... thì phải...		2011・2016・2020
15	〜きり		Chỉ... mà thôi / từ đó không còn...		2012・2015・2021
16	〜くせに		Dù... vậy mà... / trách móc		2010・2013・2018
17	〜ことから		Xuất phát từ... / vì... nên...		2011・2014・2019
18	〜ことなく		Không... mà vẫn...		2012・2016・2020
19	〜ざるを得ない		Không thể không... / bất đắc dĩ phải...		2010・2015・2021
20	〜次第		Ngay khi... / tùy thuộc vào...		2011・2013・2017
21	〜だけあって		Đúng là... nên... / xứng đáng với...		2012・2016・2018
22	〜たびに		Mỗi khi... / mỗi lần...		2010・2014・2020
23	〜っぱなし		Cứ để... mãi, thường mang nghĩa tiêu cực		2011・2015・2021
24	〜つつ		Vừa... vừa...		2012・2017・2019
25	〜つつも		Dù... nhưng vẫn...		2010・2014・2021
26	〜てからでないと		Nếu không làm... trước thì không...		2011・2016・2018
27	〜というものだ		Có thể nói là... / đó chính là...		2012・2015・2020
28	〜といっても		Dù nói là... nhưng...		2010・2013・2019
29	〜とおりに		Đúng theo... / theo như...		2011・2014・2021
30	〜とたんに		Ngay khi vừa... thì...		2012・2016・2017
31	〜ないことには		Nếu không... thì không thể...		2010・2015・2018
32	〜にあたって		Nhân dịp... / vào lúc...		2011・2013・2020
33	〜に応じて		Tùy theo... / phù hợp với...		2012・2016・2021
34	〜にかかわらず		Bất kể... / dù... hay không...		2010・2014・2019
35	〜に関して		Liên quan đến... / về vấn đề...		2011・2015・2020
36	〜に際して		Nhân khi... / vào lúc...		2012・2013・2021
37	〜にしては		So với... thì... / đối với... mà...		2010・2016・2018
38	〜に反して		Trái với... / ngược với...		2011・2014・2021
39	〜にもかかわらず		Mặc dù... / bất chấp...		2012・2017・2019
