no	front	reading	meaning_vi	han_viet	years
151	乱れる	みだれる	lộn xộn	Loạn	12/2017
152	柔軟	じゅうなん	linh hoạt	Nhu Nhuyễn	12/2017
153	強火	きょうか	lửa lớn	Cường Hỏa	12/2017
154	抱える	かかえる	ôm	Bão	12/2017
155	求人	きゅうじん	tuyển dụng	Cầu Nhân	12/2017
156	在籍	ざいせき	đang học/đang làm	Tại Tịch	12/2017
157	従う	したがう	tuân theo	Tùng	12/2017
158	福祉	ふくし	phúc lợi	Phúc Chỉ	12/2017
159	領収書	りょうしゅうしょ	biên lai	Lĩnh Thu Thư	12/2017
160	荒い	あらい	thô, dữ dội	Hoang	12/2017
161	怖い	こわい	sợ	Bố	07/2018
162	冷蔵庫	れいぞうこ	tủ lạnh	Lãnh Tàng Khố	07/2018
163	総額	そうがく	tổng số	Tổng Ngạch	07/2018
164	湿る	しめる	ẩm ướt	Thấp	07/2018
165	抽選	ちゅうせん	rút thăm	Trừu Tuyển	07/2018
166	豊か	ゆたか	phong phú	Phong	07/2018
167	養う	やしなう	nuôi dưỡng	Dưỡng	07/2018
168	破片	はへん	mảnh vỡ	Phá Phiến	07/2018
169	警備	けいび	bảo vệ	Cảnh Bị	07/2018
170	省く	はぶく	tiết kiệm, bỏ qua	Tỉnh	07/2018
171	離れる	はなれる	rời xa	Ly	12/2018
172	企画	きかく	kế hoạch	Khởi Hoạch	12/2018
173	再度	さいど	lần nữa	Tái Độ	12/2018
174	和やか	なごやか	hòa nhã	Hòa	12/2018
175	処理	しょり	xử lý	Xử Lý	12/2018
176	迎える	むかえる	đón	Nghênh	12/2018
177	介護	かいご	chăm sóc (người già)	Giới Hộ	12/2018
178	系統	けいとう	hệ thống	Hệ Thống	12/2018
179	束ねる	たばねる	buộc lại	Thúc	12/2018
180	精算	せいさん	thanh toán	Tinh Toán	12/2018
181	憎む	にくむ	ghét	Tăng	07/2019
182	偶然	ぐうぜん	ngẫu nhiên	Ngẫu Nhiên	07/2019
183	刺激	しげき	kích thích	Thích Kích	07/2019
184	恥	はじ	xấu hổ	Sỉ	07/2019
185	圧倒的	あっとうてき	áp đảo	Áp Đảo	07/2019
186	趣味	しゅみ	sở thích	Thú Vị	07/2019
187	濃い	こい	đậm	Nùng	07/2019
188	混じる	まじる	lẫn	Hỗn	07/2019
189	損	そん	tổn thất	Tổn	07/2019
190	演技	えんぎ	diễn xuất	Diễn Kỹ	07/2019
191	等しい	ひとしい	bằng nhau	Đẳng	12/2019
192	軽傷	けいしょう	bị thương nhẹ	Khinh Thương	12/2019
193	負担	ふたん	gánh nặng	Phụ Đảm	12/2019
