no	front	reading	meaning_vi	usage
51	掲載	けいさい	Đăng tải	記事を掲載する、写真掲載
52	接触	せっしょく	Tiếp xúc	人と接触する、接触感染
53	把握	はあく	Nắm bắt	状況を把握する、内容把握
54	一貫	いっかん	Nhất quán	一貫性、一貫した態度
55	過密	かみつ	Đông đúc, dày đặc	過密スケジュール、過密都市
56	可視化	かしか	Trực quan hoá	データの可視化
57	開催	かいさい	Tổ chức (sự kiện)	会議を開催する
58	回避	かいひ	Tránh né	危険を回避する、責任回避
59	関与	かんよ	Liên quan, dính líu	犯罪に関与する、政治関与
60	限界	げんかい	Giới hạn	限界を超える、能力の限界
61	削除	さくじょ	Xóa bỏ	ファイルを削除する
62	指導	しどう	Hướng dẫn	部下を指導する、指導者
63	指摘	してき	Chỉ ra	ミスを指摘する
64	支配	しはい	Chi phối, thống trị	感情に支配される、支配的
65	指標	しひょう	Chỉ số	経済指標、成績指標
66	集中	しゅうちゅう	Tập trung	集中力、作業に集中する
67	証言	しょうげん	Lời khai	警察に証言する、証言者
68	承知	しょうち	Biết, hiểu rõ	承知しました（lịch sự）
69	振る舞う	ふるまう	Cư xử	礼儀正しく振る舞う
70	成果	せいか	Thành quả	成果を上げる、研究成果
71	促進	そくしん	Thúc đẩy	販売促進、交流促進
72	操作	そうさ	Thao tác	機械を操作する、リモコン操作
73	増加	ぞうか	Tăng	人口増加、需要増加
74	相当	そうとう	Tương đương, khá	相当な金額、年齢に相当する
75	対策	たいさく	Biện pháp	防災対策、コロナ対策
76	抱える	かかえる	Gánh, mang theo	問題を抱える、悩みを抱える
77	調整	ちょうせい	Điều chỉnh	予定を調整する
78	抵抗	ていこう	Kháng cự, ngại	抵抗を感じる、電気抵抗
79	提案	ていあん	Đề xuất	アイディアを提案する
80	適用	てきよう	Áp dụng	法律を適用する、制度適用
81	展開	てんかい	Triển khai	ビジネスを展開する
82	独自	どくじ	Riêng, độc lập	独自の文化、独自開発
83	認識	にんしき	Nhận thức	問題認識、自己認識
84	把握	はあく	Nắm bắt	状況把握、意図を把握する
85	配慮	はいりょ	Quan tâm, để ý	環境に配慮、配慮が行き届く
86	判定	はんてい	Phán đoán	勝敗を判定する
87	否定	ひてい	Phủ định	自分を否定する、否定的な態度
88	表示	ひょうじ	Hiển thị	画面表示、価格表示
89	分析	ぶんせき	Phân tích	データ分析、原因分析
90	編集	へんしゅう	Biên tập	本を編集する、編集部
91	保証	ほしょう	Bảo đảm	品質保証、保証書
92	密接	みっせつ	Mật thiết	密接な関係、密接に関わる
93	無視	むし	Bỏ qua	ルールを無視する、人を無視する
94	役割	やくわり	Vai trò	重要な役割、役割分担
95	有効	ゆうこう	Hữu hiệu	有効期限、有効な手段
96	要因	よういん	Nguyên nhân chính	成功の要因、事故の要因
97	予測	よそく	Dự đoán	将来を予測する、天気予測
98	了承	りょうしょう	Thừa nhận, đồng ý	了承済み、ご理解とご了承
99	流通	りゅうつう	Lưu thông	商品の流通、流通経路
100	論点	ろんてん	Luận điểm	論点を明確にする、論点整理
