no	front	reading	meaning_vi	han_viet	years
51	略す	りゃくす	lược bớt, viết tắt, tóm gọn		
52	迫る	せまる	tiến sát, thúc giục, cưỡng bức		
53	狙う	ねらう	nhắm đến		
54	犯す	おかす	thực hiện (hành vi phạm tội)		
55	侵す	おかす	xâm chiếm		
56	冒す	おかす	can đảm, đương đầu		
57	脅す	おどす	bắt nạt, đe dọa		
58	脅かす	おどかす	hù dọa		
59	逆らう	さからう	phản đối, không tuân theo		
60	妨げる	さまたげる	ngăn chặn		
61	打ち消す	うちけす	phủ nhận, bác bỏ		
62	応じる	おうじる	đáp lại, đối ứng		
63	承る	うけたまわる	hiểu, rõ rồi		
64	頂戴する	ちょうだいする	nhận, đồng ý, hài lòng		
65	学ぶ	まなぶ	học		
66	練る	ねる	nhào trộn, trau chuốt		
67	負う	おう	mang, vác		
68	果たす	はたす	hoàn thành		
69	引き受ける	ひきうける	nhận, đảm trách		
70	増す	ます	tăng lên		
71	欠ける	かける	bỏ lỡ, thiếu sót		
72	欠かす	かかす	thiếu, lỡ		
73	澄む	すむ	trở nên rõ ràng		
74	濁る	にごる	dính bùn, đục		
75	濁す	にごす	nhập nhằng (nói)		
76	生じる	しょうじる	phát sinh, nguyên nhân		
77	及ぶ	およぶ	đạt đến, lan ra, tương đương		
78	及ぼす	およぼす	ảnh hưởng		
79	至る	いたる	dẫn đến, đi đến		
80	達する	たっする	đến, chạm tới		
81	実る	みのる	mang lại kết quả tốt		
82	暮れる	くれる	tối, hết		
83	劣る	おとる	kém hơn		
84	異なる	ことなる	khác		
85	乱れる	みだれる	hỗn loạn, bị nhầm lẫn		
86	乱す	みだす	lộn xộn, làm đảo lộn kế hoạch, làm hỏng		
87	緩む	ゆるむ	nới lỏng, được thư giãn, phá vỡ		
88	緩める	ゆるめる	lỏng, thư giãn, hạ xuống		
89	錆びる	さびる	bị rỉ sét		
90	接する	せっする	gắn với, tiếp xúc, gặp		
91	属する	ぞくする	thuộc về		
92	占める	しめる	chiếm, giữ (vị trí)		
93	くたびれる	くたびれる	bị mệt, bị chán		
94	恵まれる	めぐまれる	được ban phước, được ưa chuộng		
95	湧く	わく	vươn ra, được làm đầy, giống		
96	ほほえむ	ほほえむ	cười		
97	ふざける	ふざける	đùa cợt, hiếu động		
98	悔やむ	くやむ	hối tiếc		
99	ためらう	ためらう	chần chừ		
100	敬う	うやまう	tôn trọng		
